epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1672.93,1.26739,1.25666,1.31163,0.84483,0.85383,0.89555,0.58977,1.23944,1.02316,1.25623,0.000367347,0.000367347,0.000367347
2,3217.51,1.31204,1.30898,1.34478,0.80985,0.78561,0.84119,0.53365,1.3364,1.17843,1.32347,0.000723074,0.000723074,0.000723074
3,4974.13,1.34684,1.36003,1.36574,0.65677,0.74812,0.78067,0.4806,1.39224,1.32548,1.37364,0.00106414,0.00106414,0.00106414
4,6520.78,1.37516,1.41833,1.39227,0.77181,0.73716,0.79838,0.47912,1.417,1.25861,1.40758,0.00104501,0.00104501,0.00104501
5,8066.16,1.34408,1.3615,1.36702,0.76651,0.7825,0.83327,0.53248,1.33043,1.16907,1.31701,0.00102301,0.00102301,0.00102301
6,15742,1.35682,1.36578,1.37198,0.76058,0.73217,0.78044,0.47284,1.48077,1.34028,1.47974,0.00100101,0.00100101,0.00100101
7,17362.5,1.32559,1.31399,1.33923,0.79645,0.78456,0.8427,0.52993,1.33653,1.14192,1.32446,0.000979013,0.000979013,0.000979013
8,18911.7,1.30877,1.30656,1.33887,0.80309,0.77879,0.83746,0.52731,1.31309,1.11724,1.31507,0.000957015,0.000957015,0.000957015
9,22548.8,1.27808,1.28462,1.3224,0.85077,0.85446,0.88995,0.57979,1.25837,1.05084,1.27366,0.000935018,0.000935018,0.000935018
10,25314.1,1.2868,1.25132,1.32222,0.81002,0.83897,0.85979,0.57091,1.24402,1.04298,1.2523,0.00091302,0.00091302,0.00091302
11,67201.7,1.27549,1.2355,1.31576,0.85274,0.82858,0.89292,0.57905,1.27588,1.01137,1.27372,0.000891022,0.000891022,0.000891022
12,71551.7,1.25945,1.20069,1.30702,0.85894,0.83875,0.90361,0.59218,1.24596,0.97412,1.24879,0.000869024,0.000869024,0.000869024
13,73132.3,1.24285,1.19931,1.29131,0.87972,0.86916,0.91543,0.61648,1.18301,0.94716,1.20678,0.000847026,0.000847026,0.000847026
