epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8961.68,1.16966,1.08508,1.24444,0.88284,0.90122,0.93566,0.65191,1.10702,0.82522,1.15042,0.000367347,0.000367347,0.000367347
2,17272.3,1.17794,1.09957,1.25315,0.86741,0.83008,0.89523,0.59833,1.23948,0.98149,1.25568,0.000717942,0.000717942,0.000717942
3,23182.1,1.21117,1.14639,1.27683,0.84619,0.84338,0.88187,0.58311,1.27896,1.00721,1.27954,0.00104872,0.00104872,0.00104872
4,25276.6,1.23075,1.17785,1.2885,0.82593,0.82036,0.87995,0.57113,1.28983,1.02365,1.27926,0.00102182,0.00102182,0.00102182
5,26813.5,1.21707,1.17302,1.27259,0.81256,0.8342,0.88514,0.58021,1.24564,0.98873,1.25474,0.000992093,0.000992093,0.000992093
6,28354,1.22554,1.15119,1.28169,0.84972,0.82163,0.87589,0.56367,1.30278,1.02551,1.30113,0.000962366,0.000962366,0.000962366
7,29889.9,1.20519,1.10429,1.25542,0.86455,0.85283,0.89832,0.58737,1.21816,0.94807,1.22927,0.000932639,0.000932639,0.000932639
8,31429.6,1.19581,1.10986,1.2618,0.87695,0.85333,0.91412,0.6155,1.19962,0.9102,1.22691,0.000902913,0.000902913,0.000902913
9,32970.1,1.17024,1.07778,1.25129,0.88458,0.87775,0.92693,0.62618,1.16888,0.89867,1.19427,0.000873186,0.000873186,0.000873186
10,34509.9,1.17256,1.08781,1.24794,0.88776,0.88823,0.93153,0.6417,1.12967,0.82604,1.1775,0.000843459,0.000843459,0.000843459
11,36052.8,1.16835,1.06642,1.24336,0.89151,0.87834,0.92595,0.6442,1.1445,0.84009,1.18314,0.000813732,0.000813732,0.000813732
12,37593.1,1.14805,1.03458,1.23262,0.83461,0.82181,0.87633,0.57207,1.2787,1.02119,1.26429,0.000784006,0.000784006,0.000784006
